x y z
0.000000 0.000000 1.000000
0.000000 0.050505 0.948241
0.000000 0.101010 0.894064
0.000000 0.151515 0.837607
0.000000 0.202020 0.779014
0.000000 0.252525 0.718435
0.000000 0.303030 0.656023
0.000000 0.353535 0.591938
0.000000 0.404040 0.526343
0.000000 0.454545 0.459407
0.000000 0.505051 0.391298
0.000000 0.555556 0.322192
0.000000 0.606061 0.252264
0.000000 0.656566 0.181693
0.000000 0.707071 0.110659
0.000000 0.757576 0.039342
0.000000 0.808081 -0.032075
0.000000 0.858586 -0.103411
0.000000 0.909091 -0.174482
0.000000 0.959596 -0.245109
0.000000 1.010101 -0.315110
0.000000 1.060606 -0.384308
0.000000 1.111111 -0.452526
0.000000 1.161616 -0.519590
0.000000 1.212121 -0.585329
0.000000 1.262626 -0.649575
0.000000 1.313131 -0.712164
0.000000 1.363636 -0.772938
0.000000 1.414141 -0.831740
0.000000 1.464646 -0.888421
0.000000 1.515152 -0.942836
0.000000 1.565657 -0.994847
0.000000 1.616162 -1.044321
0.000000 1.666667 -1.091132
0.000000 1.717172 -1.135159
0.000000 1.767677 -1.176293
0.000000 1.818182 -1.214426
0.000000 1.868687 -1.249462
0.000000 1.919192 -1.281312
0.000000 1.969697 -1.309894
0.000000 2.020202 -1.335136
0.000000 2.070707 -1.356973
0.000000 2.121212 -1.375349
0.000000 2.171717 -1.390218
0.000000 2.222222 -1.401541
0.000000 2.272727 -1.409290
0.000000 2.323232 -1.413445
0.000000 2.373737 -1.413996
0.000000 2.424242 -1.410941
0.000000 2.474747 -1.404287
0.000000 2.525253 -1.394052
0.000000 2.575758 -1.380262
0.000000 2.626263 -1.362952
0.000000 2.676768 -1.342166
0.000000 2.727273 -1.317958
0.000000 2.777778 -1.290388
0.000000 2.828283 -1.259528
0.000000 2.878788 -1.225455
0.000000 2.929293 -1.188257
0.000000 2.979798 -1.148029
0.000000 3.030303 -1.104874
0.000000 3.080808 -1.058900
0.000000 3.131313 -1.010227
0.000000 3.181818 -0.958976
0.000000 3.232323 -0.905281
0.000000 3.282828 -0.849276
0.000000 3.333333 -0.791106
0.000000 3.383838 -0.730918
0.000000 3.434343 -0.668867
0.000000 3.484848 -0.605109
0.000000 3.535354 -0.539808
0.000000 3.585859 -0.473131
0.000000 3.636364 -0.405247
0.000000 3.686869 -0.336330
0.000000 3.737374 -0.266555
0.000000 3.787879 -0.196100
0.000000 3.838384 -0.125145
0.000000 3.888889 -0.053871
0.000000 3.939394 0.017540
0.000000 3.989899 0.088907
0.000000 4.040404 0.160047
0.000000 4.090909 0.230779
0.000000 4.141414 0.300922
0.000000 4.191919 0.370298
0.000000 4.242424 0.438729
0.000000 4.292929 0.506042
0.000000 4.343434 0.572064
0.000000 4.393939 0.636628
0.000000 4.444444 0.699567
0.000000 4.494949 0.760723
0.000000 4.545455 0.819939
0.000000 4.595960 0.877063
0.000000 4.646465 0.931951
0.000000 4.696970 0.984462
0.000000 4.747475 1.034463
0.000000 4.797980 1.081826
0.000000 4.848485 1.126429
0.000000 4.898990 1.168160
0.000000 4.949495 1.206912
0.000000 5.000000 1.242586
0.020202 0.000000 0.979799
0.020202 0.050505 0.928077
0.020202 0.101010 0.873988
0.020202 0.151515 0.817670
0.020202 0.202020 0.759267
0.020202 0.252525 0.698928
0.020202 0.303030 0.636806
0.020202 0.353535 0.573060
0.020202 0.404040 0.507853
0.020202 0.454545 0.441350
0.020202 0.505051 0.373723
0.020202 0.555556 0.305142
0.020202 0.606061 0.235782
0.020202 0.656566 0.165822
0.020202 0.707071 0.095439
0.020202 0.757576 0.024812
0.020202 0.808081 -0.045878
0.020202 0.858586 -0.116451
0.020202 0.909091 -0.186727
0.020202 0.959596 -0.256527
0.020202 1.010101 -0.325673
0.020202 1.060606 -0.393988
0.020202 1.111111 -0.461298
0.020202 1.161616 -0.527432
0.020202 1.212121 -0.592221
0.020202 1.262626 -0.655500
0.020202 1.313131 -0.717107
0.020202 1.363636 -0.776885
0.020202 1.414141 -0.834682
0.020202 1.464646 -0.890350
0.020202 1.515152 -0.943748
0.020202 1.565657 -0.994739
0.020202 1.616162 -1.043193
0.020202 1.666667 -1.088987
0.020202 1.717172 -1.132003
0.020202 1.767677 -1.172133
0.020202 1.818182 -1.209273
0.020202 1.868687 -1.243330
0.020202 1.919192 -1.274216
0.020202 1.969697 -1.301852
0.020202 2.020202 -1.326169
0.020202 2.070707 -1.347103
0.020202 2.121212 -1.364602
0.020202 2.171717 -1.378621
0.020202 2.222222 -1.389124
0.020202 2.272727 -1.396085
0.020202 2.323232 -1.399485
0.020202 2.373737 -1.399316
0.020202 2.424242 -1.395579
0.020202 2.474747 -1.388282
0.020202 2.525253 -1.377446
0.020202 2.575758 -1.363096
0.020202 2.626263 -1.345270
0.020202 2.676768 -1.324014
0.020202 2.727273 -1.299381
0.020202 2.777778 -1.271434
0.020202 2.828283 -1.240245
0.020202 2.878788 -1.205893
0.020202 2.929293 -1.168466
0.020202 2.979798 -1.128058
0.020202 3.030303 -1.084774
0.020202 3.080808 -1.038724
0.020202 3.131313 -0.990025
0.020202 3.181818 -0.938801
0.020202 3.232323 -0.885182
0.020202 3.282828 -0.829307
0.020202 3.333333 -0.771316
0.020202 3.383838 -0.711358
0.020202 3.434343 -0.649587
0.020202 3.484848 -0.586158
0.020202 3.535354 -0.521235
0.020202 3.585859 -0.454983
0.020202 3.636364 -0.387570
0.020202 3.686869 -0.319169
0.020202 3.737374 -0.249954
0.020202 3.787879 -0.180101
0.020202 3.838384 -0.109790
0.020202 3.888889 -0.039198
0.020202 3.939394 0.031494
0.020202 3.989899 0.102105
0.020202 4.040404 0.172456
0.020202 4.090909 0.242368
0.020202 4.141414 0.311661
0.020202 4.191919 0.380159
0.020202 4.242424 0.447688
0.020202 4.292929 0.514075
0.020202 4.343434 0.579151
0.020202 4.393939 0.642751
0.020202 4.444444 0.704711
0.020202 4.494949 0.764874
0.020202 4.545455 0.823086
0.020202 4.595960 0.879199
0.020202 4.646465 0.933070
0.020202 4.696970 0.984562
0.020202 4.747475 1.033542
0.020202 4.797980 1.079887
0.020202 4.848485 1.123478
0.020202 4.898990 1.164204
0.020202 4.949495 1.201961
0.020202 5.000000 1.236653
0.040404 0.000000 0.959607
0.040404 0.050505 0.907944
0.040404 0.101010 0.853966
0.040404 0.151515 0.797810
0.040404 0.202020 0.739620
0.040404 0.252525 0.679543
0.040404 0.303030 0.617733
0.040404 0.353535 0.554348
0.040404 0.404040 0.489550
0.040404 0.454545 0.423502
0.040404 0.505051 0.356375
0.040404 0.555556 0.288339
0.040404 0.606061 0.219568
0.040404 0.656566 0.150236
0.040404 0.707071 0.080522
0.040404 0.757576 0.010602
0.040404 0.808081 -0.059345
0.040404 0.858586 -0.129140
0.040404 0.909091 -0.198606
0.040404 0.959596 -0.267566
0.040404 1.010101 -0.335843
0.040404 1.060606 -0.403264
0.040404 1.111111 -0.469657
0.040404 1.161616 -0.534851
0.040404 1.212121 -0.598682
0.040404 1.262626 -0.660986
0.040404 1.313131 -0.721604
0.040404 1.363636 -0.780382
0.040404 1.414141 -0.837170
0.040404 1.464646 -0.891823
0.040404 1.515152 -0.944202
0.040404 1.565657 -0.994173
0.040404 1.616162 -1.041608
0.040404 1.666667 -1.086387
0.040404 1.717172 -1.128395
0.040404 1.767677 -1.167526
0.040404 1.818182 -1.203680
0.040404 1.868687 -1.236763
0.040404 1.919192 -1.266693
0.040404 1.969697 -1.293392
0.040404 2.020202 -1.316793
0.040404 2.070707 -1.336836
0.040404 2.121212 -1.353470
0.040404 2.171717 -1.366652
0.040404 2.222222 -1.376348
0.040404 2.272727 -1.382535
0.040404 2.323232 -1.385196
0.040404 2.373737 -1.384324
0.040404 2.424242 -1.379922
0.040404 2.474747 -1.372001
0.040404 2.525253 -1.360581
0.040404 2.575758 -1.345692
0.040404 2.626263 -1.327370
0.040404 2.676768 -1.305664
0.040404 2.727273 -1.280627
0.040404 2.777778 -1.252325
0.040404 2.828283 -1.220829
0.040404 2.878788 -1.186220
0.040404 2.929293 -1.148585
0.040404 2.979798 -1.108022
0.040404 3.030303 -1.064633
0.040404 3.080808 -1.018528
0.040404 3.131313 -0.969827
0.040404 3.181818 -0.918651
0.040404 3.232323 -0.865134
0.040404 3.282828 -0.809410
0.040404 3.333333 -0.751621
0.040404 3.383838 -0.691916
0.040404 3.434343 -0.630447
0.040404 3.484848 -0.567369
0.040404 3.535354 -0.502845
0.040404 3.585859 -0.437038
0.040404 3.636364 -0.370117
0.040404 3.686869 -0.302252
0.040404 3.737374 -0.233616
0.040404 3.787879 -0.164385
0.040404 3.838384 -0.094734
0.040404 3.888889 -0.024841
0.040404 3.939394 0.045115
0.040404 3.989899 0.114955
0.040404 4.040404 0.184503
0.040404 4.090909 0.253580
0.040404 4.141414 0.322010
0.040404 4.191919 0.389620
0.040404 4.242424 0.456235
0.040404 4.292929 0.521687
0.040404 4.343434 0.585809
0.040404 4.393939 0.648437
0.040404 4.444444 0.709411
0.040404 4.494949 0.768576
0.040404 4.545455 0.825780
0.040404 4.595960 0.880879
0.040404 4.646465 0.933732
0.040404 4.696970 0.984203
0.040404 4.747475 1.032165
0.040404 4.797980 1.077494
0.040404 4.848485 1.120075
0.040404 4.898990 1.159800
0.040404 4.949495 1.196567
0.040404 5.000000 1.230283
0.060606 0.000000 0.939431
0.060606 0.050505 0.887853
0.060606 0.101010 0.834012
0.060606 0.151515 0.778043
0.060606 0.202020 0.720090
0.060606 0.252525 0.660301
0.060606 0.303030 0.598828
0.060606 0.353535 0.535828
0.060606 0.404040 0.471461
0.060606 0.454545 0.405892
0.060606 0.505051 0.339287
0.060606 0.555556 0.271818
0.060606 0.606061 0.203655
0.060606 0.656566 0.134973
0.060606 0.707071 0.065947
0.060606 0.757576 -0.003247
0.060606 0.808081 -0.072433
0.060606 0.858586 -0.141435
0.060606 0.909091 -0.210076
0.060606 0.959596 -0.278181
0.060606 1.010101 -0.345576
0.060606 1.060606 -0.412090
0.060606 1.111111 -0.477554
0.060606 1.161616 -0.541799
0.060606 1.212121 -0.604663
0.060606 1.262626 -0.665985
0.060606 1.313131 -0.725608
0.060606 1.363636 -0.783381
